channel_id,channel_name,subscribers,total_views,video_count,updated_at
UCLLw7jmFsvfIVaUFsLs8mlQ,Luke Barousse,661000,33943330,171,2026-08-12 05:13:17.583244+00:00
UCWr0mx597DnSGLFk1WfvSkQ,Hallden,676000,58904789,301,2026-08-12 05:13:17.583244+00:00
UCtYLUTtgS3k1Fg4y5tAhLbw,StatQuest with Josh Starmer,1680000,93165888,297,2026-08-12 05:13:17.583244+00:00
UCiT9RITQ9PW6BhXK0y2jaeg,Ken Jee,279000,9716856,290,2026-08-12 05:13:17.583244+00:00
